overall,precision,recall,f1,cohen
Education,0.8920454545454546,0.8783216783216783,0.8851303735024665,0.8743227822725731
Entertainment,0.9662980516061085,0.9017199017199017,0.9328927300457549,0.9119166143949605
Finance,0.8064516129032258,0.6060606060606061,0.6920415224913494,0.6866638501619484
Health,0.9428571428571428,0.6,0.7333333333333334,0.7319434102755064
Hospitality,0.8932038834951457,0.8363636363636363,0.8638497652582159,0.8620711522607668
Public administration,0.771123872026251,0.8138528138528138,0.7919123841617524,0.756971092350985
Real estate,0.6515151515151515,0.7818181818181819,0.7107438016528926,0.7086247086247071
Resources,0.7222222222222222,0.4727272727272727,0.5714285714285714,0.569155987627047
SciTech,0.6721311475409836,0.7454545454545455,0.7068965517241379,0.6984389782403039
Social,0.6363636363636364,0.7173553719008264,0.6744366744366744,0.6470013367332035
Sports,0.9390946502057613,0.9429752066115702,0.9410309278350515,0.9308711205646332
Trade,0.8091482649842271,0.8479338842975207,0.8280871670702179,0.8141382880943792
Transport,0.5469387755102041,0.8121212121212121,0.6536585365853659,0.6451774112943527
Other,1,1,1,1
Error,0.7576099210822999,0.610909090909091,0.6763965777554102,0.6326693834025211
